year,award_no,presented_by,category,film,winner,speech
1946,19,Anne Revere,Actor in a Supporting Role,The Best Years of Our Lives,Harold Russell,"HAROLD RUSSELL:
 Thank you very much. Two in a night is just too much! Thanks a lot.
"
1946,19,Ray Milland,Actress,To Each His Own,Olivia de Havilland,"OLIVIA DE HAVILLAND:
 Since I value highly the profession which has instructed me, rewarded me, and permitted me my share of the world's work, it will understand and forgive me, I know, for the very great pride I feel in receiving this symbol of its approbation, one of the Awards of Merit, for my part in this past year, what has been done. But even in this wonderful moment my common sense reminds me quite clearly that most of the work that went into earning this award was not done by Olivia de Havilland at all, but by a big team of other people who, if justice were really to prevail, would be standing up here beside me now. When I think of the writer who created ""Jody Norris,"" and how much of her sprang from the heart and mind of the director. When I remember the businessmen who found and managed the money which produced her and distributed her. And how she grew under the talents and skills of the technicians: the cameraman, the makeup man, the hairdresser, the costumer. And then I think how much the musicians did for her. Then I feel humble too, as well as proud, to accept this award which I do in the name of my team as well as my own. Thank you.
"
1946,19,Lionel Barrymore,Actress in a Supporting Role,The Razor's Edge,Anne Baxter,"ANNE BAXTER:
 I want to thank all the Academy members for this very great honor. And I'd like to present my appreciation to Mr. Zanuck for the opportunity to play ""Sophie."" And above all, my deepest thanks to Mr. Eddie Goulding, without whose fine direction and understanding ""Sophie"" never would have been. I'm deeply grateful. Thank you again.
"
1947,20,Olivia de Havilland,Actor,A Double Life,Ronald Colman,"RONALD COLMAN:
 Ladies and gentlemen, I am very happy and very proud and very lucky. Lucky because I know I wouldn't be standing on this stage tonight without the grand contributions of so many others. A great script and a great part from Ruth Gordon and Garson Kanin. The wonderful help of George Cukor, Michael Kanin and Bill Goetz. And I'm not forgetting a splendid cast and all the departments that gave their skill and talents to making this picture. So, to all of them especially, my deepest gratitude. And to you, ladies and gentlemen, my warmest thanks.
"
1947,20,Anne Baxter,Actor in a Supporting Role,Miracle on 34th Street,Edmund Gwenn,"EDMUND GWENN:
 Whoow! Now I know there's a Santa Claus. Oh, you may laugh, ladies and gentlemen. It's not so easy to be certain, you know. He's a most elusive little fellow. He turns up in all sorts of places under all sorts of names and disguises. First time I ever met him he told me his name was George Seaton. And wonderfully, George Seaton has his revenge by bringing him to life. About a year and a half ago he suddenly turned up in Culver City and told me his name was Metro-Goldwyn-Mayer. That was the day Metro agreed to loan me to Fox to make the picture. And now I think it's time Santa Claus added a word to his name. I think he ought to call himself Santa Claus, Incorporated. Santa Claus, Inc. Inc.! For then he would embrace all you wonderful, kind people who have done me the honor of making me stand here tonight. Thank you, all of you, for making the evening of my life such a happy one. Thank you.
"
1947,20,Fredric March,Actress,The Farmer's Daughter,Loretta Young,"LORETTA YOUNG:
 [Taps three times on the microphone.] That's my heart. You know, up until now, presentations of the Academy Awards has been a purely spectator sport for me. However, tonight I, uh, dressed for the stage just in case.

 But in all honesty, I suppose I couldn't expect to be more elated than I was when I heard I was nominated, because I had seen and I knew the beautiful jobs done by the other four nominees: Rosalind's vitality and her great technical skill in bringing that classic character to life; Joan's expert craftsmanship in ""Possessed""; and the magic and delicacy that Dorothy McGuire brings to any role, and particularly in this one; and the superb artistry of Susan Hayward who succeeded in turning a very difficult characterization into an authentic character and a personal triumph. Yes, yes, I think my great thrill was when ""Katie"" was voted into that class. Course, we all know there wouldn't have been any ""Katie"" if it hadn't have been beautifully written and directed and photographed and... and magnificently produced by Mr. Dore Schary. For my part, I am thankful to have been in a picture that made so many people think fondly and possessively of their country, and of our industry that can give them those thoughts.

 And as for you [looking at Oscar], at long last! Good night and God bless you.
"
1947,20,Donald Crisp,Actress in a Supporting Role,Gentleman's Agreement,Celeste Holm,"CELESTE HOLM:
 Thank you, Mr. Crisp. Ladies and gentlemen, I have thought before tonight that I had already received the greatest award that an actress can have, which is to play a part in a picture in which one so wholeheartedly believes as ""Gentleman's Agreement."" Thank you, everybody, for making this happen. I am very proud to be a member of an industry which can promote so much understanding in a world which seems to need it so much.
"
1949,22,Jane Wyman,Actor,All the King's Men,Broderick Crawford,"BRODERICK CRAWFORD:
 If my heart would stop beating for a minute... Mr. Douglas said I was to thank nobody; I would like to thank all of you, and especially thank God.
"
1949,22,Claire Trevor,Actor in a Supporting Role,Twelve O'Clock High,Dean Jagger,"DEAN JAGGER:
 You shouldn't do that much of that. They suggested that if you had anything to say if you were lucky enough to get up here and get one of these wonderful things, you keep it to fifteen seconds, I believe it was. I can think of a lot of things I'd love to say and I couldn't say 'em in fifteen seconds. I would like to say this, because I hear a lot of kidding about what people say when they get one of these, but you do feel grateful to a few people that helped you to. And I would like to say to a man by the name of Darryl Zanuck, who's given me a couple pretty wonderful opportunities, to Henry King, a fine man and a great director, I'm very grateful. And I feel as emotional as the dickens about it. Thank you very much.
"
1949,22,James Stewart,Actress,The Heiress,Olivia de Havilland,"OLIVIA DE HAVILLAND:
 Your award for ""To Each His Own"" I took as an incentive to venture forward. Thank you for this very generous assurance that I have not entirely failed to do so.
"
