year,award_no,presented_by,category,film,winner,speech
1968,41,Tony Curtis,Actress in a Supporting Role,Rosemary's Baby,Ruth Gordon,"RUTH GORDON:
 I can't tell you how encouragin' a thing like this is. The first film that I was ever in was in 1915 and here we are and it's 1969. Actually, I don't know why it took me so long; though I don't think, you know, that I'm backward. Anyway. Thank you, Bill. Thank you, Bob. Thank you, Roman. And thank you, Mia. And thank all of you who voted for me. And all of you who didn't, please excuse me.
"
1969,42,Barbra Streisand,Actor,True Grit,John Wayne,"JOHN WAYNE:
 Wow! If I'd have known that I would have put that patch on thirty-five years earlier. Ladies and gentlemen, I'm no stranger to this podium. I've come up here and picked up these beautiful golden men before, but always for friends. One night I picked up two: one for Admiral John Ford, one for our beloved Gary Cooper. I was very clever and witty that night, the envy of even Bob Hope, but tonight I don't feel very clever or very witty. I feel very grateful, very humble, and all thanks to many, many people. I want to thank the members of the Academy. To all you people who are watching on television, thank you for taking such a warm interest in our glorious industry. Good night.
"
1969,42,Katharine Ross,Actor in a Supporting Role,"They Shoot Horses, Don't They?",Gig Young,"GIG YOUNG:
 Thank you, I'm really quite speechless. There are so many people to thank in the making of a picture. I thank the Academy. I thank the producers, Mr... Winkler – I hope I do better than that tonight. Mr. Winkler, Mr. Chartoff, Mr. Sills. Johnny Green, for his wonderful music. Our very talented director, Mr. Sydney Pollack. But in my heart I have a special thanks for a man whose friendship goes back many years with me, a man who always believed in me when things were not going well or going right. The man who gave me this part, my friend for many years, Mr. Martin Baum. Thank you, Marty. Thank all of you.
"
1969,42,Cliff Robertson,Actress,The Prime of Miss Jean Brodie,Maggie Smith,"ALICE GHOSTLEY:
 Well, I'm standing here and I'm thinking that with a marvelous husband like Robert Stephens and a distinguished director like Robert Fryer and the courage of a man like Richard Zanuck; well, put those all together and you just can't miss. And they didn't. And we in America present this award to you, Maggie, with as much thanks as it is a tribute to your magnificent performance. And thank you, everyone, from Maggie Smith.
"
1969,42,Fred Astaire,Actress in a Supporting Role,Cactus Flower,Goldie Hawn,"RAQUEL WELCH:
 Thank you. It's a pleasure to accept this award for her. She couldn't be here because she's in London filming. But I know she would want to thank all her co-stars, Walter Matthau and Ingrid Bergman, her director Gene Saks, and Mike Frankovich. And I think it's wonderful for her. Thank you.
"
1970,43,Goldie Hawn,Actor,Patton,George C. Scott,"FRANK McCARTHY:
 In voting this award I think that the Academy has distinguished itself. I think it has done itself a great deal of good and shown what a good organization it is by recognizing and honoring so generously a fine performance by a great actor.
"
1970,43,Maggie Smith,Actor in a Supporting Role,Ryan's Daughter,John Mills,"JOHN MILLS:
 Well, I really, honestly was not expecting to be standing here with Oscar. I really was not. I was thrilled to be in the building, but I'm quite stunned and I'm completely and utterly unprepared. I was speechless for a year in Ireland, and I am utterly speechless at this moment. But I do want to say that I think it's a wonderful choice – for me, I mean. I really am terribly – everything sounds like a cliché, but I'm really, enormously thrilled. I do think competition is rather good, and I've been competing all my life. And I'm very thrilled that I've won this and I shall always remember this moment. Thank you very much indeed.
"
1970,43,Walter Matthau,Actress,Women in Love,Glenda Jackson,"JULIET MILLS:
 I know if Glenda Jackson were here tonight she'd be terribly, terribly thrilled. She's 100 percent a professional and this is a great night for professionals. I know she'd like to thank you most sincerely for this great honor. Thank you.
"
1970,43,Gig Young,Actress in a Supporting Role,Airport,Helen Hayes,"ROSALIND RUSSELL:
 Well, on behalf of dear Helen, who is First Lady of the theater and certainly first tonight in most of our hearts, I know that she would want me to thank George Seaton who directed her in the film, and her beloved friend and that great and wonderful producer, Mr. Ross Hunter, who produced the film. Thank you very much.
"
1971,44,Liza Minnelli,Actor,The French Connection,Gene Hackman,"GENE HACKMAN:
 Thank you. [Looking at his name in the winner envelope:] That's what it says.

 Thank you very much. I just want to start at the beginning just for a second and say, sitting out there next to Barbara Harris reminds me of my first acting scene ever. It was in New York, and the gentlemen sitting in front of us when we were doing that scene was my acting teacher, and I just have to mention his name: George Morrison. I want to thank him. Also, Mr. Billy Friedkin, who has already received his prize tonight, but I have to thank him because he really brought me through this when I wanted to quit. And Eddie Egan, who you all know. Mr. Phil D'Antoni. Roy Scheider, Roy. And last, a young lady who I met in New York many years ago, Miss Felippa* Maltese, and she brought me uptown. Thank you.
"
1971,44,"Sally Kellerman, Richard Harris",Actor in a Supporting Role,The Last Picture Show,Ben Johnson,"BEN JOHNSON:
 Boy, ain't that purty. Good evening, ladies and gentlemen. I'm very grateful to the Academy. I had a speech all rigged up for this but the more I worked on it the phonier it got, so, I'd like to mention some people that has made this all possible: Mr. Peter Bogdanovich, the director of ""The Last Picture Show;"" his lovely wife Polly; Mr. John Ford, who had a lot to do with my doing the show; the entire cast and crew; and all of the folks down in Anarene, Texas – I think they deserve a big mention; last but certainly not least, Columbia Pictures. Now, if you got a crew like that behind you, you can't be all bad. And now what I'm about to say probably will stir up a lot of conversation around over the country. There's something I'd like to leave in everyone's mind throughout the world: This couldn't have happened to a nicer feller. Thank you.
"
1971,44,Walter Matthau,Actress,Klute,Jane Fonda,"JANE FONDA:
 Thank you. Thank you very much, members of the Academy. And thank all of you who applauded. There's a great deal to say and I'm not going to say it tonight. I would just like to really thank you very much.
"
1971,44,"Raquel Welch, Gene Hackman",Actress in a Supporting Role,The Last Picture Show,Cloris Leachman,"CLORIS LEACHMAN:
 Oh, thank you. I'm having an amazing life and it isn't over yet. Remember when Ben Johnson said in ""The Last Picture Show,"" ""I fought all my life against..."" whatever he said. And I feel I've fought all my life against clichés, and look at me, I'm a hopeless cliché.

 I can't thank anybody. I feel that we all have, are part of each other. That we've all contributed. And we work together and we're all the same people. And I love you all for all the experiences I've had. Except that I want to say to Cornelia Williams Hurlbut, my first piano teacher, and Rose Lorenz, my dancing teacher in Des Moines, and my father Buck Leachman who paid the bills – wait – and finally my mother, whose imagination and funny sense of humor and almost Walter Mitty life herself led to all of this. I'm deeply honored. Thank you.
"
1972,45,"Liv Ullmann, Roger Moore",Actor,The Godfather,Marlon Brando,"SACHEEN LITTLEFEATHER:
 Hello. My name is Sacheen Littlefeather. I'm Apache and I am president of the National Native American Affirmative Image Committee. I'm representing Marlon Brando this evening and he has asked me to tell you in a very long speech, which I cannot share with you presently because of time but I will be glad to share with the press afterwards, that he very regretfully cannot accept this very generous award. And the reasons for this being are the treatment of American Indians today by the film industry – excuse me – and on television in movie reruns, and also with recent happenings at Wounded Knee. I beg at this time that I have not intruded upon this evening and that we will in the future, our hearts and our understandings will meet with love and generosity. Thank you on behalf of Marlon Brando.
"
1972,45,"Diana Ross, James Coburn",Actor in a Supporting Role,Cabaret,Joel Grey,"JOEL GREY:
 Don't let anybody tell you this isn't a terrific thrill. There are so many people always, and in this case it's very much the same. Firstly, I'd to thank Hal Prince who started it all. Next, Martin Baum, Manny Wolf and Cy Feuer. Bob Fosse, whose gift is enormous and helped me so much. The other players, among them Liza, Michael, Marisa. And especially Fred Ebb and John Kander, who wrote me the best songs in the world. I thank you, and I thank my wife. You're all loved. Thank you.
"
1972,45,"Raquel Welch, Gene Hackman",Actress,Cabaret,Liza Minnelli,"LIZA MINNELLI:
 Thank you. Thank you very much. Making the film of ""Cabaret"" was one of the happiest times of my whole life and I would like to thank everybody connected with it but most especially the artistic staff: Mr. Fosse, and Fred Ebb and John Kander. And thank you for giving me this award. You've made me very happy.
"
1972,45,"Cloris Leachman, Robert Duvall",Actress in a Supporting Role,Butterflies Are Free,Eileen Heckart,"EILEEN HECKART:
 I would like to thank the very first man who ever recommended me for this part, Howard Otway, and a darling crew, and of course you. Thank you.
"
1973,46,"Liza Minnelli, Gregory Peck",Actor,Save the Tiger,Jack Lemmon,"JACK LEMMON:
 Well, I tell you, I had a speech prepared…in 1959. I've forgotten it. If I took the time to thank all of the people, very honestly, that are responsible for this award we'd be here much too long. But naturally to Marty Ransohoff, and Filmways and Paramount. I am deeply indebted for them letting us even make the film, because nobody wanted to let us make it. To Steve Shagan and John Avildsen. It would take much too much and much too long and I'll have to do it personally later. And to a cast and a crew of people, I've never in my life been connected with anything that meant more to me and worked with so many wonderful professional people that cared and loved something so much. And they made it one of the great, great moments of my life, the making of that film, and that's equal to this honor, just the privilege of working with them, truthfully. And I thank them all and I love them and respect them.

 I just want to say one more thing. In recent years especially there has been a great deal of criticism about this award. And probably a great deal of that criticism is very justified. I would just like to say that whether it's justified or not, I think it is one hell of an honor and I am thrilled. And I thank you all very, very much.
"
1973,46,"Cybill Shepherd, Ernest Borgnine",Actor in a Supporting Role,The Paper Chase,John Houseman,"JOHN HOUSEMAN:
 Almost for the first time in a long and tumultuous life, I'm almost speechless. I cannot possibly describe to you the emotions with which I receive this great honor at your hands, but I do have a few personal gratitudes that I would like to express. For all those who worked with me on ""The Paper Chase,"" for their great kindness and generosity at the appearance of a mysterious intruder in their midst. For Gordon Willis, whose extraordinarily dramatic camera work did a great deal to create the character of ""Dr. Kingsfield."" And thirdly, fourthly and fifthly, to my dear friend Jim Bridges, as a writer, as the director and as the extraordinarily reckless young man who had the unspeakable gall to select an aging and obscure schoolmaster to play this perfectly glorious part.
"
1973,46,"Charlton Heston, Susan Hayward",Actress,A Touch of Class,Glenda Jackson,"MELVIN FRANK:
 I'm very, very honored that Glenda has asked me to accept this award for her. You have honored a very great lady as well as a very great actress. And I know she'd be aware of our time problems here tonight and I know she'd be short and succinct in whatever thanks she has. I'm pretty sure she'd thank her director; she'd probably thank her producer; and she'd undoubtedly thank her writers. And as two-and-a-half of those fellows, I'd like to say, Glenda, you're welcome, and you are very welcome indeed. And I must congratulate you, my fellow Academy Award members, in selecting this really magnificent woman, this great lady, for this very great honor. Thank you very much.
"
1973,46,"Charles Bronson, Jill Ireland",Actress in a Supporting Role,Paper Moon,Tatum O'Neal,"TATUM O'NEAL:
 All I really want to thank is my director Peter Bogdanovich and my father. Thank you.

 CHARLES O'NEAL:
 [Inaudible...] her grandfather thanks you, her father thanks you and I know Tatum thanks you.
"
1974,47,Glenda Jackson,Actor,Harry and Tonto,Art Carney,"ART CARNEY:
 Thank you, Glenda. Ladies and gentlemen and members of the Academy. What other words beside thank you, Paul Mazursky and Josh Greenfeld, for a gem of a script. And particularly for my wife Barbara, and my agent/manager/father-confessor, William Francis Xavier McCaffrey, for twenty-five years, who said two words to me: Do it! You are old! Thank you very much.
"
1974,47,"Tatum O'Neal, Ryan O'Neal",Actor in a Supporting Role,The Godfather Part II,Robert De Niro,"FRANCIS FORD COPPOLA:
 Well, I'm happy that one of my boys made it. I think this is a very richly deserved award. I think Robert De Niro is an extraordinary actor and he is going to enrich the films that are made for years to come, and I thank you on his behalf.
"
1974,47,Jack Lemmon,Actress,Alice Doesn't Live Here Anymore,Ellen Burstyn,"MARTIN SCORSESE:
 Thank you. Ellen is in a play tonight in New York; she can't be here. She asked me to thank everyone concerned with the voting, the Academy, who voted for her. Also the entire cast and crew of ""Alice."" And also especially John Calley and Robert Getchell. And she also asked me to thank myself. Thank you.
"
1974,47,"Katharine Ross, Peter Falk",Actress in a Supporting Role,Murder on the Orient Express,Ingrid Bergman,"INGRID BERGMAN:
 Thank you very much indeed. It's always very nice to get an Oscar. But in the past he has shown that he is very forgetful and also has the wrong timing. Because last year when ""Day and Night"" won for the best picture I couldn't believe it that Valentina Cortese was not nominated, because she gave the most beautiful performance. [Finds Cortese in the audience:] There you are! She gave the most beautiful performance that all we actresses recognized because, after all, we have all forgotten our lines and always open the wrong doors, and it was wonderful to see her do it so beautifully. Therefore I am... It's so ironic that this year she's nominated when the picture won last year. I don't quite understand that, but here I am and I'm her rival and I don't like it at all. Please forgive me, Valentina. I didn't mean to. Thank you.
"
1975,48,Art Carney,Actor,One Flew over the Cuckoo's Nest,Jack Nicholson,"JACK NICHOLSON:
 Well, I guess this proves there are as many nuts in the Academy as anywhere else. But, since you gave me the chance, I'm really happy to get an opportunity to thank Saul and Michael and Louise and Brad and Lawrence and Bo, and all of the guys in the company, all of the feebs brigade. And I'd like to thank Miss Pickford who, incidentally, I believe was the first actor to get a percentage of her pictures. And speaking of a percentage, last but not least, my agent, who about ten years ago advised me that I had no business being an actor. Thank you.
"
1975,48,"Ben Johnson, Linda Blair",Actor in a Supporting Role,The Sunshine Boys,George Burns,"GEORGE BURNS:
 Thank you. Thank you. Thank you. Thank you very much. This is a beautiful moment for me. You know, I've been in show business all of my life and I've loved every minute of it. And being honored tonight by getting this award proves one thing: that if you stay in the business long enough and if you can get to be old enough, you get to be new again. I was very fortunate to work with two fine actors like Walter Matthau and Dick Benjamin, and to be directed by Herb Ross, and a script by Neil Simon, and with a great producer like Ray Stark, and for a beautiful studio like MGM. And being surrounded by all that talent was a great break for a newcomer like myself. And the last picture I made was thirty-seven years ago, and making ""The Sunshine Boys"" was so exciting I've decided that I'm gonna make a picture every thirty-seven years. Thank you.
"
1975,48,"Charles Bronson, Jill Ireland",Actress,One Flew over the Cuckoo's Nest,Louise Fletcher,"LOUISE FLETCHER:
 Well, it looks like you all hated me so much that you've given me this award for it, and I'm loving every minute of it. And all I can say is I've loved being hated by you. I'd like to thank Fred Roos for remembering me, Milos Forman for choosing me, Michael Douglas and Saul Zaentz for taking a chance and giving me a chance, and Jack Nicholson and a cast of actors whose professionalism, humor and capacity for getting into their roles made being in a mental institution like being in a mental institution. And if you'll excuse me [using sign language]: for my mother and my father, I want to say thank you for teaching me to have a dream. You are seeing my dream come true. Thank you.
"
1975,48,"Madeline Kahn, Joel Grey",Actress in a Supporting Role,Shampoo,Lee Grant,"LEE GRANT:
 Thank you. I really must have won it otherwise why would I wear an old wedding dress? I think we [referring to the Oscar] had a fight twenty years ago, but he's changed. I know I haven't. But I would like to thank the artistic community for sustaining me in my wins and losses and sitting on the curb, whatever it was. I don't think there's an award for what Warren Beatty had to do to get ""Shampoo"" on, but I respect him and love him, and Robert Towne. And my director Hal Ashby, who encourages an actor to fly without a net because you know that he's there to catch you. Thank you.
"
1976,49,Liv Ullmann,Actor in a Leading Role,Network,Peter Finch,"PADDY CHAYEFSKY:
 For some obscure reason I'm up here accepting an award for Peter Finch, or Finchie as everybody who knew him called him. There is no reason for me to be here. There's only one person who should be up here accepting this award and that's the person who Finch wanted up here accepting his award: Mrs. Peter Finch. Are you in the house, Eletha? Come up and get your award.

 MRS. PETER FINCH:
 I want to say thanks to the members of the Academy and my husband. I wish he was here tonight to be with us all, but since he isn't here I'll always cherish this for him. And before he died he said to me, ""Darling, if I win I want to say thanks to my fellow actors who have given me encouragement over the years; and thanks to Paddy Chayefsky who have given him the part; and thanks to Barry who have tell us to come from Jamaica, to come and do this part."" And he says, ""Most of all, thanks to you, darling, for sending the right vibes the right way. And thanks, the members of the Academy Award."" Thank you all.
"
1976,49,Tatum O'Neal,Actor in a Supporting Role,All the President's Men,Jason Robards,"JASON ROBARDS:
 [Holds the Oscar statuette by the head] I'm holding that right? It's beautiful. Thank you very much for the honor of the nomination and also the honor of this award. And I just want to say that I take this in honor for my producer Robert Redford, and my great fellow actor, who showed such integrity, honesty and perseverance in this project. And in honor of Alan Pakula, our director, and also Ben Bradlee for being alive so that he would let me come out and play with him. Thank you very much.
"
1976,49,Louise Fletcher,Actress in a Leading Role,Network,Faye Dunaway,"FAYE DUNAWAY:
 It is heavy. Well, I didn't expect this to happen quite yet but I do thank you very much and I'm very grateful. I would like especially to thank Sidney Lumet, Paddy Chayefsky, Howard Gottfried, Danny Melnick, and the great generosity of a rare group of actors, company of actors, in particular William Holden, Robert Duvall and Peter Finch. And may I just add, an especial thank you to the friends in the back room: Susan Germaine and Lee Harman. Thank you.
"
1976,49,"Sylvester Stallone, Muhammad Ali",Actress in a Supporting Role,Network,Beatrice Straight,"BEATRICE STRAIGHT:
 It's very heavy. And I'm the dark horse. And thank you so much, all of you. It's a great, great thrill for me and very unexpected. Though I should have known that when I had someone like Paddy Chayefsky writing and saying things that we all feel but can't express, and when we have someone like Sidney Lumet who makes one want to act forever, and a producer like Howard Gottfried, then how can I miss? But I know that my mother would be delighted. She had great potential for an actress but didn't think she should do it, so she pushed me and was delighted. And Michael Chekhov, the great actor and teacher who I studied with, who gave me a love and respect for the theater, which is the whole point of why we're all here. It's a great profession and we have to keep thinking it all the time. And we all do. And we all love it. And I'm so grateful for that and for a wonderful lady, age ninety-three, who lives here in Los Angeles, who's watching tonight. One of our first women directors, who directed Paul Robeson in ""Othello"" in London: Ellen van Volkenburg Browne. Bright as ever. Thank you. And last but not least, my husband, who's put up with me for twenty-eight years. Thank you so, so much.
"
1977,50,Sylvester Stallone,Actor in a Leading Role,The Goodbye Girl,Richard Dreyfuss,"RICHARD DREYFUSS:
 I didn't prepare anything. Ahhm... [laughs]. Wait a second, am I here? Yes, okay. First I will embarrass Ray Stark by saying that I owe him everything; and he is a great man. To Herb Ross, who is the only true gentleman I've ever known in my life. To Herb, Marsha, and Neil, and Quinn. I could go on and on and on and I don't want to leave. Can I rent this [referring to the podium] now? Thank you very much.
"
1977,50,"Maggie Smith, Michael Caine",Actor in a Supporting Role,Julia,Jason Robards,
1977,50,"Janet Gaynor, Walter Matthau",Actress in a Leading Role,Annie Hall,Diane Keaton,"DIANE KEATON:
 Mercy. Well then, this is terrific. It's simply terrific. Naturally I'm very honored to have been nominated with actresses like Jane Fonda and Shirley MacLaine and Anne Bancroft and Marsha Mason; this is something. Anyway, ""Annie Hall"" was a wonderful experience for me and I just would like to say thanks to Woody, and thank you. Thank you very much.
"
1977,50,John Travolta,Actress in a Supporting Role,Julia,Vanessa Redgrave,"VANESSA REDGRAVE:
 My dear colleagues, I thank you very, very much for this tribute to my work. I think that Jane Fonda and I have done the best work of our lives and I think this was in part due to our director, Fred Zinnemann. And I also think it's in part because we believed and we believe in what we were expressing. Two, out of millions, who gave their lives and were prepared to sacrifice everything in the fight against fascist and racist Nazi Germany. And I salute you and I pay tribute to you and I think you should be very proud that in the last few weeks you've stood firm and you have refused to be intimidated by the threats of a small bunch of Zionist hoodlums whose behavior is an insult to the stature of Jews all over the world and to their great and heroic record of struggle against fascism and oppression. And I salute that record, and I salute all of you for having stood firm and dealt a final blow against that period when Nixon and McCarthy launched a worldwide witch hunt against those who tried to express in their lives and their work the truth that they believed in. I salute you, and I thank you, and I pledge to you that I will continue to fight against anti-Semitism and fascism. Thank you.
"
1978,51,"Ginger Rogers, Diana Ross",Actor in a Leading Role,Coming Home,Jon Voight,"JON VOIGHT:
 I am still reeling really from the appearances just recently on this stage. I don't think there's an actor here or watching this proceeding tonight who doesn't acknowledge a great debt to the continuing legacy of Laurence Olivier. And his presence here tonight has put a great perspective and just, on the proceedings for me, and a warm and generous and dignified one, and I'm not quite able to recover from it, I tell you.

 The performances this year in this category are remarkable, really. I am a great fan of the other members of the nominated body. And I know that we are all extremely aware of the extraordinary performances that we have been selected to represent. For my own part I have, as we all do, many people to thank for a performance which stands among this group of performances. I would like to thank everyone, but I select to thank a few who represent the many.

 I would like to thank Bruce Dern, my friend, for his encouragement and his wonderful performance, and his friendship. I would like to thank Jerry Hellman, who produced also ""Midnight Cowboy;"" is an extraordinary man, a great producer, a tenacious fighter, who keeps us all healthy and has great taste. I would like to thank Hal Ashby, a remarkable, a remarkable person who was so helpful in getting me to myself and encouraging my performance. And finally I would like to thank Jane, whose great dignity as a human being – it's a good thing she's not here to see this – is very moving to me. And finally, I'm carrying with me all the men who gave me so much of their experience to deal with, who have contributed so much: the people in chairs, and the veterans, and the civilians, and the walkers, who are so strongly represented in what I'd call my work. Thank you very much.
"
1978,51,"Dyan Cannon, Telly Savalas",Actor in a Supporting Role,The Deer Hunter,Christopher Walken,"CHRISTOPHER WALKEN:
 Thank you, Michael. I'm very happy to have this. I salute Michael Cimino with this Oscar here tonight. And I'd like to add my thanks to the members of the Academy and to Mr. Robert De Niro. Thank you all.
"
1978,51,"Richard Dreyfuss, Shirley MacLaine",Actress in a Leading Role,Coming Home,Jane Fonda,"JANE FONDA:
 [Speaking simultaniously in sign language:] I'm so happy. I wanted to win very much because I'm so proud of ""Coming Home,"" and I want many people to see the movie. I'm signing part of what I'm saying tonight because, while we were making the movie, we all became more aware of the problems of the handicapped. Over 14 million people are deaf. They are the invisible handicapped and can't share this evening, so this is my way of acknowledging them. [End sign language.]

 I'm so proud and grateful. It's been almost eight years. This film, ""Coming Home,"" was born in Santa Monica where we live, in the cramped offices of the Indochina Peace Campaign, as a lot of us whose lives have been bound up with the war sat on the floor. And some of them were veterans. I thank, I thank all of them. One of them was my husband, Tom Hayden; one of them was Bruce Gilbert, who has become my partner and is the associate producer of ""Coming Home.""

 I want to thank Waldo Salt, the first – how do you...? Heavy. The first industry heavy who stuck his neck out and believed in the project. In fact he believed so much in it that he worked for two years for nothing. And he led us to Jerry Hellman, our producer, who fought for us. And I want to thank you, Jerry, very much. And I want to thank Haskell Wexler who photographed it so sensitively and Bob Jones who came through in the pinch. And I want to thank Hal Ashby; you're not here, Hal, but I want to thank you for your taste and for your courage, for your ability with the scissors. And I want to thank Penny Milford and Bobby Carradine and Bruce Dern and my pal Jon Voight, and Mike Medavoy and Eric Pleskow and Arthur Krim and Marcia Nasatir for getting us the money to make it.

 And finally I want to thank my children, Troy and Vanessa, for being understanding and forgiving me my absences. And again my husband, who helped me believe that besides being entertaining movies can inspire and teach and even be healing. Thank you, all of you. Thank the Academy very much.
"
1978,51,"George Burns, Brooke Shields",Actress in a Supporting Role,California Suite,Maggie Smith,"MAGGIE SMITH:
 I just, I just really can't believe it. I'm very, very honored and very grateful. I would like to thank Neil Simon. I would like to thank Herbie Ross. And I would very much like Michael Caine to be here, because believe you me, he was the most supporting actor ever in the world, and it really should go right down the middle. Thank you very much indeed.
"
1979,52,Jane Fonda,Actor in a Leading Role,Kramer vs. Kramer,Dustin Hoffman,"DUSTIN HOFFMAN:
 Thank you. [Inspects the Oscar.] He has no genitalia and he's holding a sword. I'd like to thank my parents for not practicing birth control.

 I'm up here with mixed feelings. I've been critical of the Academy, and for reason. I am deeply grateful for the opportunity to be able to work. I am greatly honored for being chosen by the producer, Stanley Jaffe, and the director, Bob Benton, and to have worked in a family with them, and with Meryl and with Justin, who if he loses again we'll have to give him a lifetime achievement award. And to Jane Alexander and to Jerry Greenberg and to Néstor and to the crew on the film who was part of that family. And to the crew and to the directors like Bob Fosse and Mike Nichols and John Schlesinger that I've worked with before. We are laughed at when we are up here, sometimes, for thanking. But when you work on a film you discover that there are people who are giving that artistic part of themself that goes beyond a paycheck, and they are never up here. And many of them are not members of the Academy, and we never hear of them. But this Oscar is a symbol, I think, and it is given for appreciation from those people whom we never see. They are part of our life.

 I refuse to believe that I beat Jack Lemmon, that I beat Al Pacino, that I beat Peter Sellers. I refuse to believe that Robert Duvall lost. We are a part of an artistic family. There are sixty thousand actors in this Academy – pardon me – in the Screen Actors Guild, and probably a hundred thousand in Equity. And most actors don't work, and a few of us are so lucky to have a chance to work with writing and to work with directing. Because when you're a broke actor you can't write; you can't paint; you have to practice accents while you're driving a taxi cab. And to that artistic family that strives for excellence, none of you have ever lost and I am proud to share this with you. And I thank you.
"
1979,52,"Walter Matthau, Liza Minnelli",Actor in a Supporting Role,Being There,Melvyn Douglas,
1979,52,Richard Dreyfuss,Actress in a Leading Role,Norma Rae,Sally Field,"SALLY FIELD:
 Oh, I'm gonna be the one to cry tonight, I'll tell you right now. They said this couldn't be done.

 ""Norma Rae"" was a real gift to me. It was given to me by Laddie and Jay and Gareth of the old Fox. It was given to me by Alex Rose and Tamara Asseyev, who fought very hard to get it made. It was given to me by Irving Ravetch and Harriet Frank, Jr. And it truly was a gift, every single word. It was given to me by John Alonzo, who followed me around with a camera and never hoped to shine himself, just gave it all to me. It was given to me by the actors, especially Beau Bridges and Ron Leibman, whose real craft and talent and love and support is why I'm here.

 And mostly it was given to me because of Marty Ritt. Marty Ritt is ""Norma Rae."" He has fought all his life to put on films that are courageous, that say things, that are part of him that he feels should be said, that have the box-office potential of seventy-five cents, sometimes less. And I thank him for that. He's taught me a lot. And the best gift that Marty gave me was that he let me feel all the time that I was doing it myself, and I know that I didn't.

 And on a personal note, I'd like to thank my mother and my sister for holding me together and just plain old holding me. And my kids, Peter and Eli, for being my constant inspiration, and no matter how many awards I win, if it weren't them I wouldn't be worth a damn. Thank you very much.
"
1979,52,"Jack Lemmon, Cloris Leachman",Actress in a Supporting Role,Kramer vs. Kramer,Meryl Streep,"MERYL STREEP:
 Holy mackerel. I'd like to thank Dustin Hoffman and Robert Benton to whom I owe this. Stanley Jaffe, for giving me the chance to play ""Joanna."" And Jane Alexander and Justin [she blows a kiss], for the love and support during this very, very delightful experience. Thank you very much.
"
1980,53,Sally Field,Actor in a Leading Role,Raging Bull,Robert De Niro,"ROBERT DE NIRO:
 [He pulls out his notes.] I forgot my lines so the director wrote them down for me. I want to thank everyone. Since it's said so often, but it's true and it's...what can I say? I want to thank Bruno, Richard Bruno, for the terrific costumes. Frank Warner, Cis Corman, Pete Savage, and if Pete wasn't involved in the film he wouldn't have gotten it started—I'm a little nervous, excuse me—the film never would have gotten started. Mike Westmore, for the makeup. Mary Keats, the late Jean Burt Reilly, Irwin Winkler and Bob Chartoff. Vickie La Motta and all the other wives, and Joey La Motta even though he's suing us. I hope that settles soon enough so I can go over to his house and eat once in a while. And Mardik Martin and Paul Schrader, who wrote the script. And of course, Jake La Motta, whose life it's all about. And Marty Scorsese, who gave me and all the other actors and everyone on the film all the love and trust that anyone could give anyone and is just wonderful as a director. And I want to thank my mother and father for having me. And my grandmother and grandfather, for having them. And everyone else involved in the film. And I hope that I can share this with anyone that it means anything to and the rest of the world, and especially all the terrible things that are happening. I love everyone.
"
1980,53,"Jack Lemmon, Mary Tyler Moore",Actor in a Supporting Role,Ordinary People,Timothy Hutton,"TIMOTHY HUTTON:
 Thank you all very much. This is the first award and I'm very nervous about what to say here. I'd like to thank everybody involved with ""Ordinary People."" The cast: Mary, thank you; Judd, thank you; Donald, thank you; Liz McGovern, thank you. And I'd like to thank Judith Guest and I'd like to thank Alvin Sargent and Jeff Kanew. But most of all I'd really like to thank a wonderful director, Robert Redford. I love ya. And finally I'd like to thank my father. I wish he was here. Thank you all very much.
"
1980,53,Dustin Hoffman,Actress in a Leading Role,Coal Miner's Daughter,Sissy Spacek,"SISSY SPACEK:
 Oh my goodness. I want to thank all of you so much. I'm...this is the greatest. I...for the first time in my life I'm speechless. I started to work on ""Coal Miner's Daughter"" with a bunch of strangers and I finished working on ""Coal Miner's Daughter"" with a bunch of friends. And I want to thank Loretta Lynn, and my wonderful director Michael Apted, and Tommy Lee Jones—my Doolittle—and Beverly D'Angelo, and Bob Larson, and Sean Daniel, and Bernie Schwartz, and Michael Chinich, and Tom Rickman, and Joe Tompkins, and Pam Wise. And the lady who gave me all that hair, Lorraine Roberson. And my wonderful husband Jack. And all the cast and crew that worked on ""Coal Miner's Daughter."" I share this with you and I love you. And Mama and Daddy, I love you, too.
"
